id_transaksi,jenis_item,jumlah,tanggal pembelian,nama_customer,total,jenis_item_encoded,cluster
133889.0,Alat Tulis,1.0,1/1/2010,Stacy Campos,12000.0,1,0
133889.0,Buku Sejarah,1.0,1/1/2010,Stacy Campos,15000.0,5,0
133889.0,Buku Anak-Anak,2.0,1/1/2010,Stacy Campos,40000.0,2,0
133889.0,Majalah Fashion,1.0,1/1/2010,Stacy Campos,13000.0,7,0
133889.0,Majalah Berita,2.0,1/1/2010,Stacy Campos,60000.0,6,0
133889.0,Buku Fiksi,3.0,1/1/2010,Stacy Campos,117000.0,4,3
133889.0,Novel Romansa,2.0,1/1/2010,Stacy Campos,60000.0,11,0
133890.0,Alat Tulis,1.0,3/3/2010,Natasha Sims,13000.0,1,0
133890.0,Majalah Seni,1.0,3/3/2010,Natasha Sims,5000.0,8,0
133890.0,Majalah Berita,2.0,5/1/2010,Natasha Sims,48000.0,6,0
133890.0,Buku Biografi,2.0,5/1/2010,Natasha Sims,10000.0,3,0
133890.0,Novel Romansa,2.0,5/1/2010,Natasha Sims,4000.0,11,0
133890.0,Aksesoris Buku,4.0,5/1/2010,Natasha Sims,96000.0,0,0
133891.0,Novel Fiksi Ilmiah,4.0,5/1/2010,Kimberly Park,40000.0,9,0
133891.0,Majalah Berita,2.0,5/1/2010,Kimberly Park,8000.0,6,0
133891.0,Novel Misteri,1.0,5/1/2010,Kimberly Park,13000.0,10,0
133891.0,Majalah Fashion,3.0,5/1/2010,Kimberly Park,6000.0,7,0
133892.0,Buku Anak-Anak,2.0,5/1/2010,Jonathan Edwards,10000.0,2,0
133892.0,Majalah Seni,1.0,5/1/2010,Jonathan Edwards,2000.0,8,0
133892.0,Novel Fiksi Ilmiah,2.0,5/1/2010,Jonathan Edwards,8000.0,9,0
133892.0,Buku Fiksi,5.0,5/1/2010,Jonathan Edwards,275000.0,4,3
133892.0,Aksesoris Buku,7.0,6/27/2010,Jonathan Edwards,245000.0,0,3
133893.0,Alat Tulis,2.0,6/27/2010,Tiffany Cline,40000.0,1,0
133893.0,Buku Sejarah,1.0,6/27/2010,Tiffany Cline,10000.0,5,0
133893.0,Buku Anak-Anak,1.0,6/27/2010,Tiffany Cline,13000.0,2,0
133893.0,Majalah Fashion,5.0,8/20/2010,Tiffany Cline,50000.0,7,0
133893.0,Majalah Seni,4.0,10/29/2010,Tiffany Cline,192000.0,8,3
133893.0,Majalah Berita,6.0,10/29/2010,Tiffany Cline,324000.0,6,1
133893.0,Novel Romansa,7.0,10/29/2010,Tiffany Cline,14000.0,11,0
133893.0,Aksesoris Buku,3.0,10/29/2010,Tiffany Cline,135000.0,0,3
133894.0,Alat Tulis,7.0,10/29/2010,James Brown,122500.0,1,3
133894.0,Majalah Fashion,6.0,10/29/2010,James Brown,90000.0,7,0
133894.0,Novel Fiksi Ilmiah,3.0,10/29/2010,James Brown,18000.0,9,0
133894.0,Buku Biografi,1.0,10/29/2010,James Brown,2500.0,3,0
133894.0,Novel Romansa,3.0,10/29/2010,James Brown,99000.0,11,0
133894.0,Aksesoris Buku,6.0,10/29/2010,James Brown,360000.0,0,1
133895.0,Majalah Berita,3.0,10/29/2010,Karen Oconnell,81000.0,6,0
133895.0,Novel Fiksi Ilmiah,5.0,10/29/2010,Karen Oconnell,300000.0,9,1
133895.0,Novel Misteri,1.0,10/29/2010,Karen Oconnell,5000.0,10,0
133895.0,Buku Biografi,5.0,10/29/2010,Karen Oconnell,10000.0,3,0
133895.0,Aksesoris Buku,4.0,10/29/2010,Karen Oconnell,96000.0,0,0
133896.0,Buku Sejarah,2.0,10/29/2010,Rebecca English,40000.0,5,0
133896.0,Alat Tulis,3.0,10/29/2010,Rebecca English,90000.0,1,0
133896.0,Majalah Fashion,2.0,10/29/2010,Rebecca English,10000.0,7,0
133896.0,Majalah Seni,3.0,10/29/2010,Rebecca English,18000.0,8,0
133896.0,Majalah Berita,4.0,10/29/2010,Rebecca English,144000.0,6,3
133896.0,Buku Biografi,5.0,1/20/2011,Rebecca English,50000.0,3,0
133896.0,Aksesoris Buku,7.0,3/22/2011,Rebecca English,539000.0,0,1
133897.0,Novel Romansa,8.0,3/22/2011,Tim Mcdowell,768000.0,11,2
133897.0,Alat Tulis,1.0,5/17/2011,Tim Mcdowell,10000.0,1,0
133897.0,Majalah Berita,8.0,5/17/2011,Tim Mcdowell,778750.0,6,2
133897.0,Novel Fiksi Ilmiah,1.0,5/17/2011,Tim Mcdowell,12000.0,9,0
133898.0,Majalah Seni,7.0,5/17/2011,Derek Mendez,735000.0,8,2
133898.0,Novel Fiksi Ilmiah,4.0,5/17/2011,Derek Mendez,192000.0,9,3
133898.0,Buku Biografi,4.0,5/17/2011,Derek Mendez,32000.0,3,0
133898.0,Novel Romansa,6.0,5/17/2011,Derek Mendez,324000.0,11,1
133898.0,Aksesoris Buku,5.0,5/17/2011,Derek Mendez,125000.0,0,3
133899.0,Buku Sejarah,9.0,5/17/2011,Tami Townsend MD,778750.0,5,2
133899.0,Majalah Fashion,9.0,5/17/2011,Tami Townsend MD,778750.0,7,2
133899.0,Majalah Seni,9.0,5/17/2011,Tami Townsend MD,729000.0,8,2
133899.0,Majalah Berita,7.0,5/17/2011,Tami Townsend MD,294000.0,6,1
133899.0,Novel Fiksi Ilmiah,6.0,5/17/2011,Tami Townsend MD,396000.0,9,1
133899.0,Buku Fiksi,7.0,5/17/2011,Tami Townsend MD,245000.0,4,3
133899.0,Novel Romansa,5.0,5/17/2011,Tami Townsend MD,325000.0,11,1
133899.0,Aksesoris Buku,1.0,5/17/2011,Tami Townsend MD,2000.0,0,0
133900.0,Alat Tulis,5.0,7/27/2011,Dalton Carroll Jr.,125000.0,1,3
133900.0,Buku Anak-Anak,8.0,8/28/2011,Dalton Carroll Jr.,128000.0,2,3
133900.0,Majalah Fashion,2.0,8/28/2011,Dalton Carroll Jr.,24000.0,7,0
133900.0,Majalah Seni,4.0,8/28/2011,Dalton Carroll Jr.,32000.0,8,0
133900.0,Majalah Berita,9.0,8/28/2011,Dalton Carroll Jr.,778750.0,6,2
133900.0,Buku Biografi,2.0,8/28/2011,Dalton Carroll Jr.,20000.0,3,0
133900.0,Novel Romansa,3.0,8/28/2011,Dalton Carroll Jr.,18000.0,11,0
133901.0,Novel Romansa,5.0,8/28/2011,Yvonne Riddle,250000.0,11,3
133901.0,Buku Biografi,2.0,8/28/2011,Yvonne Riddle,52000.0,3,0
133901.0,Buku Anak-Anak,5.0,8/28/2011,Yvonne Riddle,375000.0,2,1
133901.0,Majalah Fashion,4.0,8/28/2011,Yvonne Riddle,240000.0,7,3
133902.0,Buku Sejarah,8.0,8/28/2011,Lisa Jenkins,128000.0,5,3
133902.0,Alat Tulis,1.0,8/28/2011,Lisa Jenkins,2000.0,1,0
133902.0,Buku Anak-Anak,5.0,8/28/2011,Lisa Jenkins,300000.0,2,1
133902.0,Majalah Fashion,2.0,8/28/2011,Lisa Jenkins,52000.0,7,0
133903.0,Majalah Berita,8.0,8/28/2011,Victor Ortega,576000.0,6,2
133903.0,Buku Sejarah,1.0,8/28/2011,Victor Ortega,9000.0,5,0
133903.0,Buku Biografi,1.0,10/20/2011,Victor Ortega,2500.0,3,0
133903.0,Aksesoris Buku,7.0,10/20/2011,Victor Ortega,294000.0,0,1
133904.0,Majalah Seni,6.0,11/23/2011,Christopher Henry,180000.0,8,3
133904.0,Majalah Berita,5.0,11/23/2011,Christopher Henry,62500.0,6,0
133904.0,Novel Misteri,5.0,1/25/2012,Christopher Henry,275000.0,10,3
133904.0,Novel Romansa,7.0,1/25/2012,Christopher Henry,294000.0,11,1
133904.0,Aksesoris Buku,5.0,1/25/2012,Christopher Henry,62500.0,0,0
133905.0,Alat Tulis,9.0,1/25/2012,Elizabeth Burns,778750.0,1,2
133905.0,Buku Sejarah,3.0,1/25/2012,Elizabeth Burns,117000.0,5,3
133905.0,Buku Anak-Anak,5.0,1/25/2012,Elizabeth Burns,250000.0,2,3
133905.0,Majalah Fashion,1.0,1/25/2012,Elizabeth Burns,11000.0,7,0
133905.0,Majalah Berita,9.0,1/25/2012,Elizabeth Burns,162000.0,6,3
133905.0,Novel Fiksi Ilmiah,4.0,1/25/2012,Elizabeth Burns,80000.0,9,0
133905.0,Buku Fiksi,3.0,1/25/2012,Elizabeth Burns,81000.0,4,0
133905.0,Buku Biografi,9.0,1/25/2012,Elizabeth Burns,729000.0,3,2
133906.0,Alat Tulis,8.0,1/25/2012,John Calhoun,128000.0,1,3
133906.0,Buku Sejarah,1.0,1/25/2012,John Calhoun,11000.0,5,0
133906.0,Novel Misteri,2.0,1/25/2012,John Calhoun,24000.0,10,0
133906.0,Novel Fiksi Ilmiah,3.0,1/25/2012,John Calhoun,45000.0,9,0
133907.0,Alat Tulis,3.0,1/25/2012,Sarah Moore,45000.0,1,0
133907.0,Buku Sejarah,6.0,1/25/2012,Sarah Moore,396000.0,5,1
133907.0,Buku Anak-Anak,6.0,1/25/2012,Sarah Moore,360000.0,2,1
133907.0,Majalah Fashion,4.0,1/25/2012,Sarah Moore,32000.0,7,0
133907.0,Buku Biografi,7.0,4/23/2012,Sarah Moore,539000.0,3,1
